level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1678	2806	-1	
2	1	1	0	0	0	168	243	958	72	-1	
3	1	1	1	0	0	168	243	958	72	-1	
4	1	1	1	1	0	168	243	958	72	-1	
5	1	1	1	1	1	168	243	234	67	96	BACK
5	1	1	1	1	2	443	244	114	68	96	TO
5	1	1	1	1	3	599	246	153	67	96	THE
5	1	1	1	1	4	793	247	333	68	96	JUNGLE
2	1	2	0	0	0	263	420	1336	355	-1	
3	1	2	1	0	0	263	420	1336	355	-1	
4	1	2	1	1	0	265	420	1334	53	-1	
5	1	2	1	1	1	265	421	191	46	92	Kerans
5	1	2	1	1	2	489	420	147	48	96	could
5	1	2	1	1	3	669	430	84	38	96	not
5	1	2	1	1	4	788	423	284	47	96	remember
5	1	2	1	1	5	1108	424	116	47	96	how
5	1	2	1	1	6	1260	427	33	44	96	it
5	1	2	1	1	7	1329	425	103	47	96	had
5	1	2	1	1	8	1469	426	130	47	96	been
4	1	2	1	2	0	263	515	1335	55	-1	
5	1	2	1	2	1	263	515	177	48	96	before
5	1	2	1	2	2	479	517	83	47	96	the
5	1	2	1	2	3	600	518	188	47	96	violent
5	1	2	1	2	4	827	519	135	48	96	solar
5	1	2	1	2	5	1000	529	179	39	96	storms
5	1	2	1	2	6	1216	521	261	48	96	shattered
5	1	2	1	2	7	1513	522	85	48	96	the
4	1	2	1	3	0	263	612	1335	60	-1	
5	1	2	1	3	1	263	612	304	60	96	ionosphere
5	1	2	1	3	2	605	614	105	47	96	and
5	1	2	1	3	3	747	615	181	48	96	turned
5	1	2	1	3	4	964	616	84	48	96	the
5	1	2	1	3	5	1088	617	144	47	96	earth
5	1	2	1	3	6	1271	620	103	45	96	into
5	1	2	1	3	7	1414	635	32	31	96	a
5	1	2	1	3	8	1485	627	113	39	96	vast
4	1	2	1	4	0	263	708	1333	67	-1	
5	1	2	1	4	1	263	708	209	59	96	tropical
5	1	2	1	4	2	501	708	119	47	96	heat
5	1	2	1	4	3	647	726	141	40	96	zone,
5	1	2	1	4	4	818	728	31	30	96	a
5	1	2	1	4	5	877	712	232	60	96	seething
5	1	2	1	4	6	1138	713	163	47	96	world
5	1	2	1	4	7	1327	713	54	47	96	of
5	1	2	1	4	8	1407	714	189	61	96	jungle,
2	1	3	0	0	0	264	806	786	60	-1	
3	1	3	1	0	0	264	806	786	60	-1	
4	1	3	1	1	0	264	806	786	60	-1	
5	1	3	1	1	1	264	821	201	45	96	swamp
5	1	3	1	1	2	497	806	106	47	96	and
5	1	3	1	1	3	635	807	128	48	96	fetid
5	1	3	1	1	4	793	819	257	39	96	water...
2	1	4	0	0	0	264	962	1335	258	-1	
3	1	4	1	0	0	264	962	1335	258	-1	
4	1	4	1	1	0	264	962	1333	61	-1	
5	1	4	1	1	1	264	965	48	43	93	In
5	1	4	1	1	2	340	962	85	48	93	the
5	1	4	1	1	3	453	963	263	58	95	drowned,
5	1	4	1	1	4	747	965	93	48	96	lost
5	1	4	1	1	5	868	970	150	53	96	cities,
5	1	4	1	1	6	1046	966	141	49	96	there
5	1	4	1	1	7	1214	985	112	30	96	was
5	1	4	1	1	8	1352	969	84	47	96	the
5	1	4	1	1	9	1464	972	133	46	96	eerie
4	1	4	1	2	0	265	1058	1333	68	-1	
5	1	4	1	2	1	265	1058	190	61	96	beauty
5	1	4	1	2	2	483	1060	54	46	96	of
5	1	4	1	2	3	562	1060	84	48	96	the
5	1	4	1	2	4	674	1061	231	60	96	lagoons,
5	1	4	1	2	5	933	1062	84	48	96	the
5	1	4	1	2	6	1042	1067	248	57	93	towering
5	1	4	1	2	7	1319	1065	279	61	83	sixty-foot-
4	1	4	1	3	0	265	1153	1334	67	-1	
5	1	4	1	3	1	265	1153	118	59	96	high
5	1	4	1	3	2	422	1154	185	60	95	plants,
5	1	4	1	3	3	648	1155	84	48	91	the
5	1	4	1	3	4	772	1158	310	61	91	once-proud
5	1	4	1	3	5	1121	1159	256	61	93	buildings
5	1	4	1	3	6	1413	1162	186	47	90	smoth-
2	1	5	0	0	0	265	1249	406	50	-1	
3	1	5	1	0	0	265	1249	406	50	-1	
